,"Hole Depth,ft","Rate Of Penetration,ft/hr","Rotary RPM,rev/min","Rotary Torque,in/lb","Weight on Bit,kDaN","Differential Pressure,kPa","Gamma,API","Inclination,degree"
0,1341,389.38,40.42,12.484000000000002,11.6,3818.6,41.53,0.3
1,1342,387.82,40.56,13.162,11.9,4211.9,41.53,0.3
2,1343,380.42,40.81,14.348,12.0,4219.4,41.53,0.3
3,1344,351.61,40.39,15.026,12.0,4353.3,51.42,0.3
4,1345,304.3,40.31,14.009,11.3,4036.6,51.42,0.3
5,1346,316.23,40.39,14.179,11.5,4122.4,51.42,0.3
6,1347,320.37,40.39,13.162,11.3,4121.1,45.48,0.3
7,1348,329.12,40.53,14.461,11.6,4171.9,45.48,0.3
8,1349,328.9,40.7,12.71,11.9,4111.6,45.48,0.3
9,1350,335.44,40.51,14.123,11.6,4234.6,21.75,0.3
10,1351,335.63,40.62,13.84,11.8,4352.2,21.75,0.3
11,1352,333.19,40.56,14.236,13.4,4853.3,21.75,0.3
12,1353,334.12,41.15,17.455,12.6,5163.7,39.55,0.3
13,1354,126.01,41.09,17.964000000000006,11.5,4600.6,39.55,0.3
14,1355,148.1,41.23,14.461,12.0,4600.6,43.51,0.3
15,1356,96.55,40.7,11.919,11.7,3374.7,43.51,0.3
16,1357,138.5,40.84,15.704,11.4,4443.6,47.46,0.3
17,1358,248.46,40.84,15.309,11.1,4516.1,47.46,0.3
18,1359,315.59,40.45,13.275,11.3,4395.0,43.51,0.3
19,1365,333.77,40.45,13.784,11.3,4599.7,35.6,0.3
20,1366,319.26,40.25,13.784,11.4,4378.7,35.6,0.3
21,1367,326.79,40.23,13.727,11.7,4485.8,45.48,0.3
22,1368,327.29,40.14,14.292,11.8,4660.5,45.48,0.3
23,1369,321.28,40.25,14.009,11.7,4609.1,55.37,0.3
24,1370,324.2,40.65,14.8,11.7,4487.6,55.37,0.3
25,1371,337.59,40.39,12.71,11.3,4273.9,55.37,0.3
26,1372,373.04,40.48,15.817,11.6,4467.9,49.44,0.3
27,1377,81.17,41.71,17.06,11.5,4201.6,41.53,0.3
28,1378,170.05,40.65,13.445,9.5,4238.9,41.53,0.3
29,1379,344.8,40.2,14.236,10.7,3817.9,47.46,0.3
30,1380,408.62,40.28,15.987,12.0,4403.9,55.37,0.3
31,1381,408.53,40.81,12.597,11.7,4291.3,55.37,0.3
32,1382,391.75,40.2,16.834,12.0,4533.8,43.51,0.3
33,1383,365.84,40.59,15.874,11.5,4364.7,43.51,0.3
34,1384,350.6,40.51,13.84,12.9,4048.1,43.51,0.3
35,1385,347.03,40.45,13.445,12.2,4114.0,43.51,0.3
36,1386,293.38,40.7,13.896,12.3,4278.2,37.57,0.3
37,1387,295.96,40.65,12.88,11.7,4416.4,37.57,0.3
38,1388,292.0,40.53,11.467,11.3,3729.2,37.57,0.3
39,1389,357.03,40.53,13.501,11.7,4055.8,37.57,0.3
40,1390,364.46,40.39,13.275,11.7,4241.6,37.57,0.3
41,1391,364.06,40.31,12.823,11.8,3943.5,39.55,0.3
42,1392,369.22,40.65,14.009,12.1,4315.8,25.71,0.3
43,1393,362.56,40.53,14.009,12.4,4663.5,19.78,0.3
44,1394,291.7,40.45,14.009,11.9,4214.2,17.8,0.3
45,1395,253.31,40.42,14.574000000000002,11.1,4310.2,9.89,0.3
46,1396,314.59,40.84,14.574000000000002,11.5,4165.9,7.91,0.3
47,1397,353.29,40.23,13.558,11.7,4307.4,5.93,0.3
48,1398,354.04,40.51,14.123,11.4,4307.4,5.93,0.3
49,1399,351.56,40.11,13.784,11.5,3918.6,13.84,0.3
50,1400,348.79,40.37,13.558,11.7,3936.4,9.89,0.3
51,1401,334.76,40.92,14.066,12.9,3968.0,7.91,0.3
52,1402,187.23,40.92,13.501,11.4,3904.3,7.91,0.3
53,1404,141.57,40.84,12.202,10.5,3551.1,7.91,0.3
54,1405,334.86,40.45,15.478,15.7,4402.2,9.89,0.3
55,1406,426.95,40.39,15.93,13.5,3957.1,9.89,0.3
56,1407,428.46,40.62,12.654000000000002,11.6,4045.2,33.62,0.3
57,1408,406.33,40.09,11.581,11.8,3491.8,39.55,0.3
58,1409,413.55,40.34,13.106,11.8,3548.8,39.55,0.3
59,1410,411.52,40.42,12.936,11.6,4114.3,51.42,0.3
60,1411,400.46,40.56,13.84,11.4,4137.6,51.42,0.3
61,1412,397.62,40.56,11.524,12.8,4438.1,31.64,0.3
62,1413,378.84,40.14,13.727,11.7,4259.4,31.64,0.3
63,1414,307.53,40.48,13.501,11.7,4160.4,17.8,0.3
64,1415,262.62,40.7,14.179,11.1,4228.3,11.87,0.3
65,1416,310.46,40.7,13.558,12.0,4382.0,11.87,0.3
66,1417,319.49,39.89,14.066,11.6,4382.0,17.8,0.3
67,1430,434.79,40.31,15.93,12.2,5431.6,9.89,0.6
68,1431,417.58,40.17,16.326,12.9,6047.1,9.89,0.6
69,1432,367.65,40.06,17.455,12.1,5744.0,5.93,0.6
70,1433,320.71,40.7,16.043,11.4,5682.1,5.93,0.6
71,1434,358.34,40.81,16.947,11.5,5410.5,5.93,0.6
72,1435,368.02,40.34,17.116,11.5,5645.2,5.93,0.6
73,1436,361.56,39.42,17.680999999999994,11.8,5603.2,9.89,0.6
74,1437,358.05,40.34,16.834,13.3,5098.6,9.89,0.6
75,1438,370.42,40.81,16.043,12.3,5538.9,7.91,0.6
76,1439,289.69,40.28,15.139,11.4,5328.8,7.91,0.6
77,1440,244.61,41.04,14.687,10.8,4961.0,21.75,0.6
78,1441,329.81,40.62,14.744000000000002,12.3,5501.7,21.75,0.6
79,1442,338.81,40.23,17.455,12.8,5478.8,21.75,0.6
80,1443,320.43,40.23,16.439,11.3,5633.4,23.73,0.6
81,1444,315.81,39.58,16.947,11.5,5610.8,23.73,0.6
82,1445,316.46,40.65,17.342,12.1,5677.6,5.93,0.6
83,1446,315.09,40.48,15.93,12.4,5258.8,5.93,0.6
84,1447,330.06,40.28,14.236,11.9,5556.3,5.93,0.6
85,1448,330.38,39.89,17.342,12.9,5560.6,7.91,0.6
86,1449,320.18,40.59,15.422,12.3,5458.6,7.91,0.6
87,1450,310.8,40.98,17.455,13.4,5458.6,39.55,0.6
88,1451,295.03,40.45,14.123,11.1,4512.9,39.55,0.6
89,1452,360.68,40.03,15.591,12.1,4602.1,39.55,0.6
90,1453,432.25,40.2,15.591,11.0,4651.9,57.35,0.6
91,1454,454.34,40.28,13.896,11.5,4409.5,57.35,0.6
92,1455,465.84,40.31,17.964000000000006,12.2,4891.0,21.75,0.6
93,1456,462.76,39.95,17.964000000000006,12.2,5373.5,21.75,0.6
94,1457,409.77,40.7,17.116,13.1,5238.9,35.6,0.6
95,1458,308.58,41.45,15.93,11.6,5264.8,35.6,0.6
96,1459,305.63,39.75,17.964000000000006,12.8,5264.8,88.99,0.6
97,1460,266.77,38.58,17.964000000000006,11.3,5209.3,88.99,0.6
98,1461,309.45,40.28,17.567999999999998,11.5,5026.4,63.28,0.6
99,1462,143.67,40.28,11.581,8.8,3207.2,63.28,0.6
100,1463,250.38,40.7,12.71,9.9,4168.3,13.84,0.6
101,1464,319.75,40.48,17.964000000000006,11.5,4577.3,9.89,0.6
102,1465,343.5,40.09,17.964000000000006,12.3,4914.5,9.89,0.6
103,1466,341.61,40.67,17.964000000000006,12.5,4755.1,13.84,0.6
104,1467,293.81,38.91,17.964000000000006,10.9,4898.6,11.87,0.6
105,1468,303.23,38.38,17.964000000000006,11.6,5177.7,7.91,0.6
106,1469,315.92,39.11,17.964000000000006,11.0,4661.6,7.91,0.6
107,1470,347.29,39.78,17.964000000000006,11.7,5009.6,7.91,0.6
108,1471,349.97,38.94,17.964000000000006,12.8,5264.5,7.91,0.6
109,1472,348.84,40.53,17.964000000000006,12.8,4770.3,7.91,0.6
110,1473,111.08,40.87,12.145,11.8,3273.2,5.93,0.6
111,1474,118.6,41.2,17.964000000000006,11.6,3803.0,5.93,0.6
112,1475,120.6,41.43,17.964000000000006,11.5,3482.2,23.73,0.6
113,1476,130.32,42.79,17.964000000000006,11.8,3845.5,23.73,0.6
114,1477,130.87,41.57,11.354,11.6,3727.2,19.78,0.6
115,1478,203.65,42.01,17.964000000000006,12.7,4141.5,19.78,0.6
116,1479,202.99,39.28,17.964000000000006,11.2,5250.4,7.91,0.6
117,1480,246.67,41.34,17.964000000000006,12.4,5250.4,7.91,0.6
118,1481,179.5,39.67,17.964000000000006,11.1,5127.8,7.91,0.6
119,1482,209.44,41.12,17.964000000000006,11.8,5156.4,15.82,0.6
120,1483,151.95,41.76,17.964000000000006,10.3,4324.9,15.82,0.6
121,1484,185.84,39.47,17.964000000000006,11.8,5123.6,41.53,0.6
122,1485,187.32,40.7,17.964000000000006,11.9,4929.2,41.53,0.6
123,1486,171.13,40.42,17.964000000000006,11.4,5249.4,41.53,0.6
124,1487,172.79,40.92,17.964000000000006,11.7,4970.1,29.66,0.6
