,"Hole Depth,ft","Rate Of Penetration,ft/hr","Rotary RPM,rev/min","Rotary Torque,in/lb","Weight on Bit,kDaN","Differential Pressure,kPa","Gamma,API","Inclination,degree"
170,171.0,149.38,40.37,2.825,1.7,430.4,51.08,6.3
362,363.0,325.26,71.49,10.450999999999999,0.2,731.9,51.08,0.7
363,364.0,327.38,71.55,9.66,0.1,720.7,51.08,0.7
364,365.0,340.7,71.8,9.49,0.1,711.0,51.08,0.7
365,366.0,349.33,71.55,9.49,0.1,697.4,51.08,0.7
367,368.0,349.96,71.27,10.055,0.4,790.1,51.08,0.7
368,369.0,349.55,71.94,10.280999999999999,0.6,829.5,51.08,0.7
369,370.0,349.75,71.32,10.732999999999999,0.2,741.7,51.08,0.7
370,371.0,349.65,71.88,10.564,0.2,744.1,51.08,0.7
371,372.0,349.45,71.1,9.999,0.3,843.3,51.08,0.7
372,373.0,349.85,71.72,11.524000000000001,0.2,793.2,51.08,0.7
373,374.0,349.97,71.49,9.434,0.4,813.6,51.08,0.7
374,375.0,349.54,71.6,7.287000000000001,0.4,806.3,51.08,0.7
375,376.0,349.55,71.44,9.434,0.8,978.6,51.08,0.7
376,377.0,349.09,71.55,10.959000000000001,0.6,937.0,51.08,0.7
377,378.0,349.86,71.49,8.248,3.8,1198.7,51.08,0.7
378,379.0,349.57,71.24,11.637,4.7,1737.0,51.08,0.7
379,380.0,303.85,71.52,11.242,4.9,1779.3,51.08,0.7
380,381.0,306.63,71.24,11.298,0.6,909.9,51.08,0.7
381,382.0,349.32,71.83,11.919,0.9,1083.5,51.08,0.7
382,383.0,349.98,72.02,11.185,0.7,1049.0,51.08,0.7
383,384.0,349.84,71.94,10.79,0.6,951.7,51.08,0.7
384,385.0,349.55,71.58,12.88,1.8,1234.9,51.08,0.7
385,386.0,349.84,72.11,10.62,1.2,1234.9,51.08,0.7
386,387.0,350.07,71.32,10.112,0.6,879.7,51.08,0.7
387,388.0,349.82,71.46,12.540999999999999,0.6,959.9,51.08,0.7
388,389.0,349.86,71.49,11.015,0.4,999.2,51.08,0.7
389,390.0,350.11,71.58,9.999,0.1,778.6,51.08,0.7
390,391.0,350.14,71.85,9.49,0.1,799.6,51.08,0.7
391,392.0,349.81,70.71,12.089,0.4,906.9,51.08,0.7
392,393.0,350.0,71.77,11.354000000000001,0.3,870.1,51.08,0.7
393,394.0,350.29,71.46,10.225,0.4,844.2,51.08,0.7
394,395.0,350.04,71.05,10.62,0.4,802.6,51.08,0.7
395,396.0,349.87,71.88,10.902999999999999,0.3,860.8,51.08,0.7
396,397.0,350.02,72.05,10.845999999999998,0.4,921.5,51.08,0.7
397,398.0,350.42,71.63,9.999,0.6,850.2,51.08,0.7
398,399.0,350.34,71.46,11.242,0.3,837.5,51.08,0.7
399,400.0,349.99,71.88,12.032,0.5,913.5,51.08,0.7
400,401.0,350.14,71.55,12.597000000000001,0.4,945.0,51.08,0.7
401,402.0,349.85,71.97,12.71,0.5,984.3,51.08,0.7
402,403.0,349.82,71.94,12.370999999999999,0.7,1003.5,51.08,0.7
403,404.0,349.13,71.49,14.123,0.6,960.0,51.08,0.7
404,405.0,346.37,72.13,12.089,0.2,859.2,51.08,0.7
405,406.0,349.7,71.77,11.693,0.4,774.6,51.08,0.7
406,407.0,350.04,72.08,12.597000000000001,0.7,944.9,51.08,0.7
410,411.0,200.14,0.33,1.9769999999999999,1.3,789.2,51.08,0.7
411,412.0,200.28,0.5,1.9769999999999999,1.5,941.8,51.08,0.7
412,413.0,217.0,17.5,2.542,2.1,1476.2,51.08,0.7
413,414.0,136.25,0.22,3.22,2.4,1265.2,51.08,0.7
414,415.0,300.66,0.28,3.502,2.4,1379.9,51.08,0.7
415,416.0,354.77,5.5,4.237,3.1,1360.5,51.08,0.7
416,417.0,359.29,0.7,5.084,4.5,1810.3,51.08,0.7
417,418.0,261.62,4.08,5.818,5.1,1741.6,51.08,0.7
418,419.0,280.69,0.22,2.9939999999999998,2.7,1436.4,51.08,0.7
419,420.0,420.13,5.36,3.1069999999999998,2.7,1370.0,51.08,0.7
420,421.0,490.17,0.31,3.615,3.0,1412.8,51.08,0.7
421,422.0,499.41,0.22,4.689,3.0,1472.4,51.08,0.7
422,423.0,499.27,0.36,3.728,3.0,1527.8,51.08,0.7
423,424.0,499.16,0.2,3.841,3.1,1473.8,51.08,0.7
424,425.0,499.18,0.22,3.333,2.9,1332.7,51.08,0.7
425,426.0,499.24,0.28,3.728,3.3,1553.2,51.08,0.7
426,427.0,499.63,0.7,4.689,3.2,1590.2,51.08,0.7
427,428.0,499.88,0.45,5.422999999999999,4.1,1581.4,51.08,0.7
428,429.0,499.0,0.39,4.35,3.9,1937.7,51.08,0.7
