,Hole Depth,Rate Of Penetration,Rate Of Penetration.1,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Gamma,Inclination,YYYY/MM/DD,HH:MM:SS
170,171.0,149.38,149.38,40.37,2.825,1.7,430.4,51.08,6.3,2019/08/09,02:14:02
362,363.0,325.26,325.26,71.49,10.450999999999999,0.2,731.9,51.08,0.7,2019/08/09,03:24:14
363,364.0,327.38,327.38,71.55,9.66,0.1,720.7,51.08,0.7,2019/08/09,03:24:25
364,365.0,340.7,340.7,71.8,9.49,0.1,711.0,51.08,0.7,2019/08/09,03:24:35
365,366.0,349.33,349.33,71.55,9.49,0.1,697.4,51.08,0.7,2019/08/09,03:24:45
367,368.0,349.96,349.96,71.27,10.055,0.4,790.1,51.08,0.7,2019/08/09,03:25:06
368,369.0,349.55,349.55,71.94,10.280999999999999,0.6,829.5,51.08,0.7,2019/08/09,03:25:16
369,370.0,349.75,349.75,71.32,10.732999999999999,0.2,741.7,51.08,0.7,2019/08/09,03:25:27
370,371.0,349.65,349.65,71.88,10.564,0.2,744.1,51.08,0.7,2019/08/09,03:25:37
371,372.0,349.45,349.45,71.1,9.999,0.3,843.3,51.08,0.7,2019/08/09,03:25:47
372,373.0,349.85,349.85,71.72,11.524000000000001,0.2,793.2,51.08,0.7,2019/08/09,03:25:57
373,374.0,349.97,349.97,71.49,9.434,0.4,813.6,51.08,0.7,2019/08/09,03:26:08
374,375.0,349.54,349.54,71.6,7.287000000000001,0.4,806.3,51.08,0.7,2019/08/09,03:26:18
375,376.0,349.55,349.55,71.44,9.434,0.8,978.6,51.08,0.7,2019/08/09,03:26:28
376,377.0,349.09,349.09,71.55,10.959000000000001,0.6,937.0,51.08,0.7,2019/08/09,03:26:39
377,378.0,349.86,349.86,71.49,8.248,3.8,1198.7,51.08,0.7,2019/08/09,03:26:49
378,379.0,349.57,349.57,71.24,11.637,4.7,1737.0,51.08,0.7,2019/08/09,03:27:04
379,380.0,303.85,303.85,71.52,11.242,4.9,1779.3,51.08,0.7,2019/08/09,03:27:15
380,381.0,306.63,306.63,71.24,11.298,0.6,909.9,51.08,0.7,2019/08/09,03:27:26
381,382.0,349.32,349.32,71.83,11.919,0.9,1083.5,51.08,0.7,2019/08/09,03:27:36
382,383.0,349.98,349.98,72.02,11.185,0.7,1049.0,51.08,0.7,2019/08/09,03:27:46
383,384.0,349.84,349.84,71.94,10.79,0.6,951.7,51.08,0.7,2019/08/09,03:27:57
384,385.0,349.55,349.55,71.58,12.88,1.8,1234.9,51.08,0.7,2019/08/09,03:28:07
385,386.0,349.84,349.84,72.11,10.62,1.2,1234.9,51.08,0.7,2019/08/09,03:28:17
386,387.0,350.07,350.07,71.32,10.112,0.6,879.7,51.08,0.7,2019/08/09,03:28:28
387,388.0,349.82,349.82,71.46,12.540999999999999,0.6,959.9,51.08,0.7,2019/08/09,03:28:38
388,389.0,349.86,349.86,71.49,11.015,0.4,999.2,51.08,0.7,2019/08/09,03:28:48
389,390.0,350.11,350.11,71.58,9.999,0.1,778.6,51.08,0.7,2019/08/09,03:28:58
