,"Hole Depth,ft","Rate Of Penetration,ft/hr","Rotary RPM,rev/min","Rotary Torque,in/lb","Weight on Bit,kDaN","Differential Pressure,kPa","Gamma,API","Inclination,degree"
4901,4902.0,169.57,90.7,16.777,20.7,3249.8,33.5,5.4
4909,4910.0,158.42,90.47,14.574000000000002,11.4,2634.5,33.5,5.4
4910,4911.0,158.33,91.31,20.619,13.7,3791.5,33.5,5.4
4911,4912.0,158.03,91.28,20.28,15.0,3791.5,33.5,5.4
4912,4913.0,158.62,90.64,13.953,15.3,3168.8,33.5,5.4
4921,4922.0,96.53,0.14,6.892,12.0,3089.8,33.5,5.6
4932,4933.0,99.38,0.08,7.909,10.0,2650.9,33.5,5.6
4943,4944.0,160.31,76.66,18.303,10.3,3841.1,33.5,5.6
4949,4950.0,230.13,75.54,13.953,13.8,3297.8,33.5,5.6
4950,4951.0,244.55,75.85,14.517999999999999,17.7,3671.4,33.5,5.6
4951,4952.0,185.53,95.16,18.359,19.2,5078.7,33.5,5.6
4952,4953.0,197.73,95.58,19.771,17.8,4794.4,33.5,5.6
4967,4968.0,249.24,95.89,17.851,16.0,4731.1,33.5,5.6
4975,4976.0,199.33,95.42,13.953,13.6,4020.1,33.5,5.6
4976,4977.0,199.8,95.47,14.347999999999999,13.4,4187.8,33.5,5.6
4977,4978.0,199.74,95.42,13.445,13.0,4024.0,33.5,5.6
4978,4979.0,204.37,95.36,13.106,15.2,4001.8,33.5,5.6
4979,4980.0,220.92,95.42,15.422,18.1,4486.9,33.5,5.6
4980,4981.0,222.68,95.36,19.828,18.7,5318.3,33.5,5.6
4981,4982.0,213.46,95.75,16.834,14.8,5293.3,33.5,5.6
4982,4983.0,213.36,95.25,14.292,14.2,4183.2,33.5,5.6
4983,4984.0,228.74,95.64,15.365,15.7,4616.7,33.5,5.6
4984,4985.0,233.94,95.47,15.987,16.1,4896.4,33.5,5.6
4985,4986.0,247.59,95.42,14.574000000000002,20.0,4682.9,33.5,5.6
4986,4987.0,247.11,95.72,14.630999999999998,20.1,3969.8,33.5,5.6
4987,4988.0,35.97,60.8,12.258,12.6,3243.7,33.5,5.6
4988,4989.0,147.36,75.68,14.347999999999999,18.7,3599.9,33.5,5.6
4989,4990.0,147.05,75.71,15.083,19.6,3753.8,33.5,5.6
4990,4991.0,106.84,75.43,13.106,19.7,3791.0,33.5,5.6
4991,4992.0,88.68,75.51,14.235999999999999,19.4,4132.8,33.5,5.6
4992,4993.0,134.19,76.04,17.794,18.6,5237.1,33.5,5.6
4993,4994.0,148.94,75.79,16.777,16.2,4805.5,33.5,5.6
4994,4995.0,148.94,75.6,13.049000000000001,18.0,3763.4,33.5,5.6
4995,4996.0,148.73,75.37,11.975999999999999,19.4,3812.7,33.5,5.6
4996,4997.0,127.5,75.87,16.156,19.6,4439.6,33.5,5.6
4997,4998.0,110.08,75.68,20.393,19.3,6041.7,33.5,5.6
4998,4999.0,117.08,76.77,22.991,20.6,7309.9,33.5,5.6
4999,5000.0,98.91,75.71,15.874,12.6,4440.4,33.5,5.6
5000,5001.0,99.16,75.76,17.173,15.2,5052.1,33.5,5.6
5001,5002.0,99.19,76.01,19.207,17.5,5220.2,33.5,5.6
5002,5003.0,82.41,75.57,11.298,4.3,1320.1,33.5,5.6
5003,5004.0,101.72,75.99,15.422,12.4,3278.0,33.5,5.6
5004,5005.0,145.97,76.04,21.862,18.1,4510.7,33.5,5.6
5005,5006.0,87.67,75.9,17.512,12.1,3539.3,33.5,5.6
5006,5007.0,98.73,76.24,18.642,14.7,4221.2,33.5,5.6
5007,5008.0,108.32,75.93,20.11,17.2,4678.9,33.5,5.6
5008,5009.0,108.18,75.51,22.201,18.5,4965.8,33.5,5.6
5009,5010.0,83.6,75.57,16.552,11.6,3444.3,33.5,5.6
5010,5011.0,102.33,76.1,18.02,15.0,4105.8,33.5,5.6
5011,5012.0,107.14,76.74,22.991,17.9,6404.8,33.5,5.6
5012,5013.0,108.55,75.85,17.567999999999998,16.6,3839.2,33.5,5.6
5013,5014.0,108.35,75.82,22.144000000000002,18.3,4833.5,33.5,5.6
5014,5015.0,103.42,75.96,21.41,18.4,5063.4,33.5,5.6
5015,5016.0,108.81,76.01,20.958000000000002,17.7,4889.0,33.5,5.6
5016,5017.0,109.08,76.68,22.991,18.1,4908.6,33.5,5.6
5017,5018.0,106.27,76.38,22.991,18.0,5452.2,33.5,5.6
5018,5019.0,109.17,76.24,22.596,17.0,4726.2,33.5,5.6
5019,5020.0,118.24,76.07,18.924,16.0,4191.1,33.5,5.6
5020,5021.0,128.63,76.21,22.991,18.0,4427.1,33.5,5.6
5021,5022.0,128.6,76.15,22.483,18.3,5151.1,33.5,5.6
5022,5023.0,126.5,75.76,22.991,18.4,5438.4,33.5,5.6
5023,5024.0,126.84,75.85,22.991,19.7,6191.8,33.5,5.6
5024,5025.0,87.48,77.27,22.991,18.9,6408.8,33.5,5.6
5025,5026.0,88.16,76.29,22.991,18.3,4126.2,33.5,5.6
5026,5027.0,87.07,76.6,22.991,19.2,4547.7,33.5,5.6
5027,5028.0,85.11,76.88,22.991,19.7,4749.1,33.5,5.6
5028,5029.0,85.92,77.08,22.709,19.1,4102.4,33.5,5.6
5029,5030.0,88.49,76.15,21.749000000000002,18.2,4124.1,33.5,5.6
5030,5031.0,89.28,77.19,22.483,17.8,4061.7,33.5,5.6
5031,5032.0,89.24,76.15,20.28,18.2,4227.2,33.5,5.6
5032,5033.0,88.79,76.35,22.991,18.5,4355.4,33.5,5.6
5033,5034.0,84.5,76.71,22.991,18.6,4643.1,33.5,5.6
5034,5035.0,82.95,76.63,22.991,18.9,4667.5,33.5,5.6
5035,5036.0,88.67,76.82,22.991,18.0,4536.2,33.5,5.6
5036,5037.0,88.23,76.74,22.991,18.7,5020.9,33.5,5.6
5037,5038.0,83.39,77.1,22.483,19.2,4230.6,33.5,5.6
5038,5039.0,33.63,76.8,22.144000000000002,18.9,3461.0,33.5,5.6
5039,5040.0,37.13,50.69,12.71,14.1,1961.8,33.5,5.6
5040,5041.0,49.75,50.56,12.370999999999999,18.3,2367.7,33.5,5.6
5041,5042.0,49.4,50.69,12.202,19.3,2283.0,33.5,5.6
5042,5043.0,38.87,50.56,11.863,19.5,2029.2,33.5,5.6
5043,5044.0,34.06,50.67,10.507,19.5,1895.2,33.5,5.6
5044,5045.0,28.04,50.89,11.467,19.3,2456.7,33.5,5.6
5045,5046.0,49.76,51.03,13.84,7.7,2693.7,33.5,6.7
5047,5048.0,74.78,50.5,10.507,6.1,1537.3,33.5,6.7
5049,5050.0,95.92,50.81,13.219000000000001,7.5,1812.2,33.5,6.7
5050,5051.0,99.48,51.2,13.558,7.8,2044.0,33.5,6.7
5051,5052.0,99.71,50.83,11.919,7.6,1764.9,33.5,6.7
5054,5055.0,89.65,50.47,10.280999999999999,6.2,1895.0,33.5,6.7
5055,5056.0,144.11,50.56,12.597000000000001,8.8,2618.6,33.5,6.7
5056,5057.0,146.09,50.64,13.219000000000001,9.2,2768.1,33.5,6.7
5057,5058.0,145.29,50.81,13.501,9.0,2611.7,33.5,6.7
5058,5059.0,146.27,50.44,13.501,9.0,2615.9,33.5,6.7
5059,5060.0,148.18,50.56,13.219000000000001,8.9,2568.0,33.5,6.7
5060,5061.0,149.4,50.53,13.895999999999999,8.6,2600.2,33.5,6.7
5061,5062.0,149.55,50.47,12.427999999999999,8.0,2360.3,33.5,6.7
5062,5063.0,149.46,50.56,13.162,9.7,2692.2,33.5,6.7
5063,5064.0,182.75,50.56,14.8,10.4,3035.2,33.5,6.7
5064,5065.0,183.34,50.69,14.405,10.3,3059.2,33.5,6.7
5065,5066.0,167.26,60.41,14.292,10.1,2955.6,33.5,6.7
5066,5067.0,170.59,60.35,15.648,11.2,2892.7,33.5,6.7
5067,5068.0,180.09,70.6,16.156,12.4,3250.4,33.5,6.7
5068,5069.0,185.75,70.71,14.913,10.5,3039.8,33.5,6.7
5069,5070.0,53.25,70.63,12.540999999999999,6.8,2203.1,33.5,6.7
5070,5071.0,187.77,71.18,17.173,11.5,3180.3,33.5,6.7
5071,5072.0,179.66,71.02,16.156,11.7,3429.9,33.5,6.7
5072,5073.0,231.89,70.51,16.043,11.0,3533.5,33.5,6.7
5073,5074.0,237.72,70.63,16.665,12.0,3616.0,33.5,6.7
5074,5075.0,225.77,70.6,15.591,10.6,3838.6,33.5,6.7
5075,5076.0,239.65,70.77,16.269000000000002,10.1,3518.6,33.5,6.7
5076,5077.0,243.56,70.91,15.93,10.7,3324.3,33.5,6.7
5077,5078.0,260.54,70.6,17.794,11.2,3610.7,33.5,6.7
5078,5079.0,261.99,70.71,17.455,11.5,3605.3,33.5,6.7
5079,5080.0,264.99,70.43,14.857000000000001,10.9,3351.0,33.5,6.7
5080,5081.0,277.48,70.43,15.478,10.5,3079.4,33.5,6.7
5081,5082.0,296.31,70.54,15.874,10.7,3214.5,33.5,6.7
5082,5083.0,299.39,70.46,15.704,11.1,3368.6,33.5,6.7
5083,5084.0,298.96,70.57,15.252,11.7,3595.7,33.5,6.7
5084,5085.0,287.04,70.54,16.947,11.6,3517.1,33.5,6.7
5085,5086.0,254.79,70.57,17.342,11.9,3607.8,33.5,6.7
5086,5087.0,227.55,70.57,18.246,16.3,4654.6,33.5,6.7
5087,5088.0,195.34,70.49,18.472,16.0,4820.5,33.5,6.7
5088,5089.0,200.98,70.68,19.941,16.0,5272.8,33.5,6.7
5089,5090.0,253.58,70.85,19.546,16.4,4787.8,33.5,6.7
5090,5091.0,259.96,70.54,19.715,16.4,4967.0,33.5,6.7
5091,5092.0,274.99,70.6,19.32,13.8,4355.5,33.5,6.7
5092,5093.0,292.16,70.71,18.303,13.8,4351.0,33.5,6.7
5093,5094.0,295.89,70.77,19.715,14.7,4610.7,33.5,6.7
5094,5095.0,295.82,70.49,17.907,13.5,4374.5,33.5,6.7
5095,5096.0,298.29,70.79,17.06,13.4,3859.5,33.5,6.7
5096,5097.0,113.31,70.88,14.347999999999999,8.8,2977.6,33.5,6.7
5097,5098.0,148.56,70.6,15.704,10.9,3361.8,33.5,6.7
5098,5099.0,148.6,70.54,16.382,13.0,3712.3,33.5,6.7
5099,5100.0,149.03,70.51,13.219000000000001,9.9,2859.1,33.5,6.7
5100,5101.0,182.83,70.49,13.332,8.1,2102.1,33.5,6.7
5101,5102.0,200.5,70.38,12.315,8.1,2204.3,33.5,6.7
5102,5103.0,226.5,70.46,13.332,10.9,2682.9,33.5,6.7
5103,5104.0,249.8,70.32,16.269000000000002,12.5,3529.9,33.5,6.7
5104,5105.0,250.17,70.46,15.478,12.4,3497.6,33.5,6.7
5105,5106.0,251.97,70.57,14.574000000000002,11.6,3375.3,33.5,6.7
