,Hole Depth,Rate Of Penetration,Rate Of Penetration.1,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Gamma,Inclination,YYYY/MM/DD,HH:MM:SS
4901,4902.0,169.57,169.57,90.7,16.777,20.7,3249.8,33.5,5.4,2019/08/07,15:33:05
4909,4910.0,158.42,158.42,90.47,14.574000000000002,11.4,2634.5,33.5,5.4,2019/08/07,15:41:39
4910,4911.0,158.33,158.33,91.31,20.619,13.7,3791.5,33.5,5.4,2019/08/07,15:42:02
4911,4912.0,158.03,158.03,91.28,20.28,15.0,3791.5,33.5,5.4,2019/08/07,15:42:25
4912,4913.0,158.62,158.62,90.64,13.953,15.3,3168.8,33.5,5.4,2019/08/07,15:42:48
4921,4922.0,96.53,96.53,0.14,6.892,12.0,3089.8,33.5,5.6,2019/08/07,15:50:11
4932,4933.0,99.38,99.38,0.08,7.909,10.0,2650.9,33.5,5.6,2019/08/07,15:58:19
4943,4944.0,160.31,160.31,76.66,18.303,10.3,3841.1,33.5,5.6,2019/08/07,16:05:28
4949,4950.0,230.13,230.13,75.54,13.953,13.8,3297.8,33.5,5.6,2019/08/07,16:07:11
4950,4951.0,244.55,244.55,75.85,14.517999999999999,17.7,3671.4,33.5,5.6,2019/08/07,16:07:44
4951,4952.0,185.53,185.53,95.16,18.359,19.2,5078.7,33.5,5.6,2019/08/07,16:08:04
4952,4953.0,197.73,197.73,95.58,19.771,17.8,4794.4,33.5,5.6,2019/08/07,16:08:22
4967,4968.0,249.24,249.24,95.89,17.851,16.0,4731.1,33.5,5.6,2019/08/07,16:12:22
4975,4976.0,199.33,199.33,95.42,13.953,13.6,4020.1,33.5,5.6,2019/08/07,16:15:15
4976,4977.0,199.8,199.8,95.47,14.347999999999999,13.4,4187.8,33.5,5.6,2019/08/07,16:15:33
4977,4978.0,199.74,199.74,95.42,13.445,13.0,4024.0,33.5,5.6,2019/08/07,16:15:51
4978,4979.0,204.37,204.37,95.36,13.106,15.2,4001.8,33.5,5.6,2019/08/07,16:16:08
4979,4980.0,220.92,220.92,95.42,15.422,18.1,4486.9,33.5,5.6,2019/08/07,16:16:24
4980,4981.0,222.68,222.68,95.36,19.828,18.7,5318.3,33.5,5.6,2019/08/07,16:16:42
4981,4982.0,213.46,213.46,95.75,16.834,14.8,5293.3,33.5,5.6,2019/08/07,16:16:59
4982,4983.0,213.36,213.36,95.25,14.292,14.2,4183.2,33.5,5.6,2019/08/07,16:17:15
4983,4984.0,228.74,228.74,95.64,15.365,15.7,4616.7,33.5,5.6,2019/08/07,16:17:31
4984,4985.0,233.94,233.94,95.47,15.987,16.1,4896.4,33.5,5.6,2019/08/07,16:17:46
4985,4986.0,247.59,247.59,95.42,14.574000000000002,20.0,4682.9,33.5,5.6,2019/08/07,16:18:01
4986,4987.0,247.11,247.11,95.72,14.630999999999998,20.1,3969.8,33.5,5.6,2019/08/07,16:18:35
4987,4988.0,35.97,35.97,60.8,12.258,12.6,3243.7,33.5,5.6,2019/08/07,16:21:46
4988,4989.0,147.36,147.36,75.68,14.347999999999999,18.7,3599.9,33.5,5.6,2019/08/07,16:22:11
4989,4990.0,147.05,147.05,75.71,15.083,19.6,3753.8,33.5,5.6,2019/08/07,16:22:44
4990,4991.0,106.84,106.84,75.43,13.106,19.7,3791.0,33.5,5.6,2019/08/07,16:23:22
4991,4992.0,88.68,88.68,75.51,14.235999999999999,19.4,4132.8,33.5,5.6,2019/08/07,16:24:04
4992,4993.0,134.19,134.19,76.04,17.794,18.6,5237.1,33.5,5.6,2019/08/07,16:24:30
4993,4994.0,148.94,148.94,75.79,16.777,16.2,4805.5,33.5,5.6,2019/08/07,16:24:54
4994,4995.0,148.94,148.94,75.6,13.049000000000001,18.0,3763.4,33.5,5.6,2019/08/07,16:25:19
4995,4996.0,148.73,148.73,75.37,11.975999999999999,19.4,3812.7,33.5,5.6,2019/08/07,16:25:47
4996,4997.0,127.5,127.5,75.87,16.156,19.6,4439.6,33.5,5.6,2019/08/07,16:26:25
4997,4998.0,110.08,110.08,75.68,20.393,19.3,6041.7,33.5,5.6,2019/08/07,16:26:59
4998,4999.0,117.08,117.08,76.77,22.991,20.6,7309.9,33.5,5.6,2019/08/07,16:28:34
4999,5000.0,98.91,98.91,75.71,15.874,12.6,4440.4,33.5,5.6,2019/08/07,16:29:10
5000,5001.0,99.16,99.16,75.76,17.173,15.2,5052.1,33.5,5.6,2019/08/07,16:29:47
5001,5002.0,99.19,99.19,76.01,19.207,17.5,5220.2,33.5,5.6,2019/08/07,16:30:23
5002,5003.0,82.41,82.41,75.57,11.298,4.3,1320.1,33.5,5.6,2019/08/07,16:37:05
5003,5004.0,101.72,101.72,75.99,15.422,12.4,3278.0,33.5,5.6,2019/08/07,16:37:39
5004,5005.0,145.97,145.97,76.04,21.862,18.1,4510.7,33.5,5.6,2019/08/07,16:38:04
5005,5006.0,87.67,87.67,75.9,17.512,12.1,3539.3,33.5,5.6,2019/08/07,16:39:32
5006,5007.0,98.73,98.73,76.24,18.642,14.7,4221.2,33.5,5.6,2019/08/07,16:40:09
5007,5008.0,108.32,108.32,75.93,20.11,17.2,4678.9,33.5,5.6,2019/08/07,16:40:42
5008,5009.0,108.18,108.18,75.51,22.201,18.5,4965.8,33.5,5.6,2019/08/07,16:41:17
5009,5010.0,83.6,83.6,75.57,16.552,11.6,3444.3,33.5,5.6,2019/08/07,16:42:42
5010,5011.0,102.33,102.33,76.1,18.02,15.0,4105.8,33.5,5.6,2019/08/07,16:43:17
