,Hole Depth,Rate Of Penetration,Rate Of Penetration.1,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Inclination,YYYY/MM/DD,HH:MM:SS
97,98.0,149.6,149.6,30.54,6.892,0.9,337.9,15.9,2019/10/06,20:24:42
143,144.0,127.11,127.11,30.9,8.53,1.6,696.6,15.9,2019/10/06,20:25:22
144,145.0,143.97,143.97,30.54,6.2139999999999995,0.5,522.5,15.9,2019/10/06,20:25:45
145,146.0,159.75,159.75,30.85,8.472999999999999,0.7,597.9,15.9,2019/10/06,20:26:18
146,147.0,114.03,114.03,30.87,8.191,0.8,662.3,15.9,2019/10/06,20:27:00
147,148.0,77.85,77.85,30.46,4.237,0.9,484.4,15.9,2019/10/06,20:43:15
148,149.0,191.92,191.92,30.43,5.197,2.3,796.1,15.9,2019/10/06,20:43:27
149,150.0,287.38,287.38,30.15,5.593,2.2,838.1,15.9,2019/10/06,20:43:39
150,151.0,300.13,300.13,30.4,4.406000000000001,2.4,811.5,15.9,2019/10/06,20:43:51
151,152.0,300.24,300.24,30.46,4.915,2.4,818.2,15.9,2019/10/06,20:44:03
152,153.0,308.98,308.98,30.34,5.9879999999999995,3.0,1033.7,15.9,2019/10/06,20:44:13
153,154.0,349.81,349.81,30.57,7.457000000000001,3.0,1025.5,15.9,2019/10/06,20:44:22
154,155.0,392.19,392.19,30.26,3.841,3.7,867.4,15.9,2019/10/06,20:44:31
155,156.0,399.1,399.1,30.57,3.728,2.6,812.6,15.9,2019/10/06,20:44:40
156,157.0,399.35,399.35,30.46,4.237,2.4,846.3,15.9,2019/10/06,20:44:49
157,158.0,399.97,399.97,30.2,4.293,2.3,813.9,15.9,2019/10/06,20:44:58
158,159.0,403.16,403.16,30.37,5.593,2.7,913.4,15.9,2019/10/06,20:45:06
159,160.0,421.09,421.09,30.32,5.422999999999999,2.7,963.5,15.9,2019/10/06,20:45:14
160,161.0,442.17,442.17,30.2,4.5760000000000005,2.7,910.3,15.9,2019/10/06,20:45:22
161,162.0,449.55,449.55,30.46,4.519,2.7,999.4,15.9,2019/10/06,20:45:30
162,163.0,450.12,450.12,30.29,4.971,3.1,1054.5,15.9,2019/10/06,20:45:38
163,164.0,454.75,454.75,30.54,6.779,3.2,1104.9,15.9,2019/10/06,20:45:46
164,165.0,467.56,467.56,30.68,6.779,3.3,1100.1,15.9,2019/10/06,20:45:53
165,166.0,477.0,477.0,30.79,7.117999999999999,3.2,1123.8,15.9,2019/10/06,20:46:01
166,167.0,479.37,479.37,30.32,7.231,3.2,1107.5,15.9,2019/10/06,20:46:08
167,168.0,479.45,479.45,30.65,7.513,2.9,1030.9,15.9,2019/10/06,20:46:16
168,169.0,479.4,479.4,30.4,7.005,2.8,1008.8,15.9,2019/10/06,20:46:23
169,170.0,479.37,479.37,30.82,7.683,3.1,1057.4,15.9,2019/10/06,20:46:31
170,171.0,479.77,479.77,30.65,8.586,3.6,1140.9,15.9,2019/10/06,20:46:38
171,172.0,484.45,484.45,30.87,7.909,3.6,1183.1,15.9,2019/10/06,20:46:45
172,173.0,493.2,493.2,30.62,6.327000000000001,3.2,1050.8,15.9,2019/10/06,20:46:53
173,174.0,498.86,498.86,30.62,7.1739999999999995,3.0,1079.5,15.9,2019/10/06,20:47:00
174,175.0,500.01,500.01,30.6,7.626,2.7,910.3,15.9,2019/10/06,20:47:07
175,176.0,500.09,500.09,30.37,7.852,2.5,927.0,15.9,2019/10/06,20:47:14
176,177.0,500.07,500.07,31.04,6.892,3.3,1042.6,15.9,2019/10/06,20:47:21
177,178.0,501.53,501.53,30.51,7.965,3.4,1133.7,15.9,2019/10/06,20:47:28
178,179.0,505.7,505.7,30.43,6.2139999999999995,4.0,1160.6,15.9,2019/10/06,20:47:35
179,180.0,507.91,507.91,30.6,6.892,4.1,1198.1,15.9,2019/10/06,20:47:42
180,181.0,508.17,508.17,30.71,8.191,4.3,1256.1,15.9,2019/10/06,20:47:50
181,182.0,506.41,506.41,30.79,6.722,2.7,854.4,15.9,2019/10/06,20:47:57
182,183.0,507.58,507.58,30.51,6.666,2.2,852.2,15.9,2019/10/06,20:48:04
183,184.0,510.29,510.29,30.6,5.649,2.3,797.8,15.9,2019/10/06,20:48:11
184,185.0,511.09,511.09,30.54,6.157,2.3,913.0,15.9,2019/10/06,20:48:18
185,186.0,511.0,511.0,30.4,6.722,2.7,1016.9,15.9,2019/10/06,20:48:25
186,187.0,510.69,510.69,30.34,5.7620000000000005,2.8,1046.7,15.9,2019/10/06,20:48:32
187,188.0,510.87,510.87,30.48,4.971,2.5,946.7,15.9,2019/10/06,20:48:39
188,189.0,510.93,510.93,30.51,10.450999999999999,9.6,1588.0,15.9,2019/10/06,20:49:42
189,190.0,54.1,54.1,30.6,4.745,4.1,665.9,15.9,2019/10/06,20:50:13
190,191.0,177.08,177.08,30.57,6.835,2.6,870.1,15.9,2019/10/06,20:50:20
191,192.0,357.25,357.25,30.71,7.626,2.8,953.6,15.9,2019/10/06,20:50:28
192,193.0,469.37,469.37,30.57,7.739,2.9,1014.1,15.9,2019/10/06,20:50:35
193,194.0,507.46,507.46,30.74,6.496,2.6,868.0,15.9,2019/10/06,20:50:42
194,195.0,510.52,510.52,30.76,7.231,4.7,1118.9,15.9,2019/10/06,20:50:49
