Hole Depth,True Vertical Depth,Rate Of Penetration,Rate Of Penetration,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Inclination,YYYY/MM/DD,HH:MM:SS
1.0,-999.25,0.07,0.07,0.31,0.000,50.5,-25056.9,15.9,2019/10/06,19:29:46
2.0,-999.25,41.35,41.35,0.00,0.000,42.0,-25078.0,15.9,2019/10/06,19:38:03
3.0,-999.25,154.19,154.19,0.00,0.000,41.9,-25086.7,15.9,2019/10/06,19:38:06
4.0,-999.25,265.17,265.17,0.00,0.000,41.8,-25081.8,15.9,2019/10/06,19:38:08
5.0,-999.25,369.83,369.83,0.00,0.000,41.8,-25073.5,15.9,2019/10/06,19:38:10
6.0,-999.25,490.12,490.12,0.00,0.000,41.7,-25071.3,15.9,2019/10/06,19:38:13
7.0,-999.25,610.32,610.32,0.00,0.000,41.8,-25071.8,15.9,2019/10/06,19:38:15
8.0,-999.25,717.88,717.88,0.00,0.000,41.7,-25063.6,15.9,2019/10/06,19:38:17
9.0,-999.25,969.14,969.14,0.00,0.000,41.6,-25070.2,15.9,2019/10/06,19:38:19
10.0,-999.25,1153.77,1153.77,0.00,0.000,41.7,-25091.6,15.9,2019/10/06,19:38:21
11.0,-999.25,1308.65,1308.65,0.00,0.000,41.7,-25108.5,15.9,2019/10/06,19:38:23
12.0,-999.25,1422.90,1422.90,0.00,0.000,41.7,-25119.0,15.9,2019/10/06,19:38:25
13.0,-999.25,1543.06,1543.06,0.00,0.000,41.7,-25101.9,15.9,2019/10/06,19:38:27
14.0,-999.25,1620.57,1620.57,0.00,0.000,41.7,-25094.8,15.9,2019/10/06,19:38:28
15.0,-999.25,1693.05,1693.05,0.00,0.000,41.6,-25095.9,15.9,2019/10/06,19:38:29
16.0,-999.25,1747.50,1747.50,0.00,0.000,41.5,-25114.3,15.9,2019/10/06,19:38:31
17.0,-999.25,1806.81,1806.81,0.00,0.000,41.6,-25097.3,15.9,2019/10/06,19:38:32
18.0,-999.25,1864.43,1864.43,0.00,0.000,41.6,-25109.6,15.9,2019/10/06,19:38:34
19.0,-999.25,1912.07,1912.07,0.00,0.000,41.5,-25120.8,15.9,2019/10/06,19:38:35
20.0,-999.25,1983.92,1983.92,0.00,0.000,41.6,-25118.8,15.9,2019/10/06,19:38:36
21.0,-999.25,2049.32,2049.32,0.00,0.000,41.6,-25118.8,15.9,2019/10/06,19:38:38
22.0,-999.25,2105.38,2105.38,0.00,0.000,41.6,-25135.0,15.9,2019/10/06,19:38:39
23.0,-999.25,2177.33,2177.33,0.00,0.000,41.7,-25136.5,15.9,2019/10/06,19:38:40
24.0,-999.25,2248.92,2248.92,0.00,0.000,41.6,-25138.8,15.9,2019/10/06,19:38:42
25.0,-999.25,2316.52,2316.52,0.00,0.000,41.7,-25136.0,15.9,2019/10/06,19:38:43
26.0,-999.25,2364.42,2364.42,0.00,0.000,41.6,-25122.7,15.9,2019/10/06,19:38:45
27.0,-999.25,2420.64,2420.64,0.00,0.000,41.6,-25109.5,15.9,2019/10/06,19:38:46
28.0,-999.25,2453.12,2453.12,0.00,0.000,41.6,-25116.8,15.9,2019/10/06,19:38:47
29.0,-999.25,2490.85,2490.85,0.00,0.000,41.6,-25141.4,15.9,2019/10/06,19:38:49
30.0,-999.25,2507.51,2507.51,0.00,0.000,41.6,-25152.9,15.9,2019/10/06,19:38:50
31.0,-999.25,2524.14,2524.14,0.00,0.000,41.7,-25161.2,15.9,2019/10/06,19:38:52
32.0,-999.25,2534.76,2534.76,0.00,0.000,41.8,-25162.2,15.9,2019/10/06,19:38:53
33.0,-999.25,2539.90,2539.90,0.00,0.000,41.8,-25164.6,15.9,2019/10/06,19:38:54
34.0,-999.25,2546.50,2546.50,0.00,0.000,41.7,-25159.8,15.9,2019/10/06,19:38:56
35.0,-999.25,2552.83,2552.83,0.00,0.000,41.6,-25162.2,15.9,2019/10/06,19:38:57
36.0,-999.25,2560.38,2560.38,0.00,0.000,41.6,-25167.4,15.9,2019/10/06,19:38:58
37.0,-999.25,63.07,63.07,0.00,0.000,41.6,-25159.6,15.9,2019/10/06,19:45:42
38.0,-999.25,192.26,192.26,0.00,0.000,41.7,-25171.1,15.9,2019/10/06,19:45:44
39.0,-999.25,314.44,314.44,0.00,0.000,41.6,-25169.1,15.9,2019/10/06,19:45:46
40.0,-999.25,433.79,433.79,0.00,0.000,41.5,-25152.8,15.9,2019/10/06,19:45:48
